aid ,[eɪd],"помощь, средства"
asterisk ,[ˈæstərɪsk] ,звездочка
breakthrought," ",прорыв
completion ,[kəmˈpli:ʃən],"завершение, окончание"
counteract ,[ˌkauntəˈrækt],противодействие
dispatch ,[dɪsˈpætʃ],"отправка, рассылка"
draft ,[dra:ft],"эскиз, чертеж"
expiration ,[ˌekspaɪəˈreɪʃən] ,истечение срока
feedback ,[ˈfi:dbæk],"обратная связь, отклик"
fusion ,[ˈfju:ʒən],"сплав, слияние"
gamut ,[ˈɡæmət],"гамма, палитра"
generic ,[dʒɪˈnerɪk],универсальный
horizon ,[həˈraɪzn],"горизонт, кругозор"
hack ,[hæk],взлом
implementation ,[ˌɪmplɪmenˈteɪʃən],"внедрение, реализация"
interaction ,[ˌɪntərˈækʃən],взаимодействие
interoperability," ",совместимость
jailbreak," ","побег , взлом"
layer ,['leɪə],"слой, пласт"
measurement," ",измерение
might ,[maɪt],сила
observing ," ",наблюдение
opportunity ,[ˌɔpəˈtju:nɪtɪ],"возможность, удобный случай"
overlay ,['əuv(ə)leɪ],"наложение, верхний слой"
persistence," ","постоянство, настойчивость"
raise ,[reɪz],"подъем, повышение"
rate ,[reɪt],"уровень, скорость"
reachability ," ",достижимость
recovery ,[rɪˈkʌvərɪ],восстановление
responder ," ",отвечающий объект
scope ,[skəup],"объем, контекст"
scheduling," ",планирование
sign ,[saɪn],"знак, вывеска, символ"
stroke ,[strəuk],"нажатие, штрих"
suffix ,[ˈsʌfɪks],подстрочный индекс
toll ,[təul],"потери, пошлина, сбор"
unity ,[ˈju:nɪtɪ],"единство, единица, соогласие"
