ability ,[əˈbɪlɪtɪ],"способность, компетенция"
acknowledgement," ",подтверждение
actuator ,[ˈæktjueɪtə],привод
advantage," ",преимущество
advice ,[ədˈvaɪs],"совет, рекомендация"
arranging," ","подготовка, расположение"
aspect ,[ˈæspekt],"аспект, сторона"
brief ,[bri:f],"резюме, краткие сводки"
concern ,[kənˈsə:n],"беспокойство, опасения"
conclusion ,[kənˈklu:ʒən],"заключение, завершение"
convergence ,[kənˈvə:dʒəns],сходимость
couple ,[ˈkʌpl],пара
degree ,[dɪˈɡri:],"степень, ступень"
dial ,[ˈdaɪəl],набор
divergence ,[daɪˈvə:dʒəns],расхождение
drawback ,[ˈdrɔ:bæk],"недостаток, препятствие"
estimation ,[ˌestɪˈmeɪʃən],оценка
evaluation ,[ɪˌvæljuˈeɪʃən],оценка
facility ,[fəˈsɪlɪtɪ],"средство, возможность, услуги"
feedback ,[ˈfi:dbæk],обратная связь
gain ,[ɡeɪn],"выгода, преимущество, усиление"
goal ,[ɡəul],цель
howing," ",распухание
implementation," ",внедрение
inspiration ,[ˌɪnspəˈreɪʃən],вдохновение
ladder ,[ˈlædə],"лестница, лестничная структура"
lattice ,[ˈlætɪs],решетка
logbook ,[ˈlɔɡbuk],журнал
iconic ,[aɪˈkɔnɪk],"графический, культовый"
instance ,[ˈɪnstəns],экземпляр
partitioning," ",разделение
presiding," ",председательство
prompt ,[prɔmpt],"подсказка, запрос"
qualifier," ","определитель, отборочный матч"
sequence," ",последовательность
scheduling," ",планирование
spread ,[spred],распространение
stem ,[stem],"основа, стержень"
stub ,[stʌb],"тупик, заглушка"
substitution," ",замена
supervisor ,[ˈsju:pəvaɪzə],"наблюдатель, инспектор, супервизор"
tank ,[tæŋk] ,"бак, резервуар"
token ,[ˈtəukən],"символ, маркер"
transition ,[trænˈsɪʒən],переход
valve ,[vælv],"клапан, вентиль"
