"able ",[ˈeɪbl],способный
"accurate ",[ˈækjurɪt],"точный, скурпулезный, правильный"
"ace ",[eɪs],первоклассный
"apart ",[əˈpɑ:t],обособленно
"appropriate ",[ə'prəuprɪət],"соответствующий, подходящий"
"aware ",[əˈwɛə],осведомленный
"behind ",[bɪˈhaɪnd],позади
"certain ",[ˈsə:tn],"определенный, бесспорный"
"chunk ",[tʃʌŋk],блок
"common ",[ˈkɔmən],"общий, обыкновенный, распространенный"
"confident ",[ˈkɔnfɪdənt],"уверенный, самонядеянный"
"composite ",[ˈkɔmpəzɪt],"сложный, составной"
"convenient ",[kənˈvi:njənt],"удобный, находящийся под рукой"
"deliberately ",[dɪˈlɪbərɪtlɪ],"обдуманно, умышленно"
"despite ",[dɪsˈpaɪt],не смотря на
"downcast ",[ˈdaunka:st],нисходящий
"either ",[ˈaɪðə],"любой, или... или..."
"generic ",[dʒɪˈnerɪk],"универсальный, непатентованный"
"necessary ",[ˈnesɪsərɪ],"необходимый, неизбежный"
"purely ",[ˈpjuəlɪ],"исключительно, только"
"regardless ",[rɪˈɡɑ:dlɪs],независимо
"several ",[ˈsevrəl],"несколько, разные"
"similar ",[ˈsɪmɪlə],подобный
seamlessly," ",беспрепятственно
simplicity," ","простота, несложность"
"surrogate ",[ˈsʌrəɡɪt],заместитель
"together ",[təˈɡeðə],вместе
"trail ",[treɪl],путь
"underlying ",[ˌʌndəˈlaɪɪŋ],"основной, базовый"
"unless ",[ənˈles],"если, пока"
"unsigned ",[ˈʌnˈsaɪnd],неподписанный
"whether ",[ˈweðə],независимо от того ли...
