defensive copy," ",защитная копия
for the sake of brevity," ",ради краткости
in essense," ",в сущности
not widely understood," ",не получили широкого распространения
to be undertaken lightly," ",быть предпринятым легкомысленно
vastly inferior," ",значительно уступает
not to belabor the pain," ",не переносить боль
still cling," ",все еще цепляются
slap yourself on forehand," ",дать себе пощечину
Gosh!!!," ",Черт возьми!!!
Innocuous-looking," ",безобидно выглядещий
window of vulnerability," ",окно уязвимости
if it is," ",если это так
spot the flow," ",определять поток
but even so," "," но даже если это так"
