"ability ",[əˈbɪlɪtɪ],"способность, возможность"
"adjusting ","[əˈdʒʌstɪŋ] ","наладка, корректировка"
"alert ",[əˈlə:t],"тревога, извещение"
"ancestor ",[ˈænsɪstə],предок
"approach ",[əˈprəutʃ],"подход, приближение"
"behalf ",[bɪˈhɑ:f],имя
behavior," ",поведение
"blame ",[bleɪm],вина
"breadcrumb ",[ˈbredkrʌm],навигационная цепочка
"clarity ",[ˈklærɪtɪ],ясность
credentials," ",учтенные данные
"disaster ",[dɪˈzɑ:stə],"бедствие, крушение, авария"
advertising," ","реклама, рекламирование"
"disclosure ",[dɪsˈkləuʒə],"раскрытие, обнаружение"
"effort ",[ˈefət],"усилие, попытка"
"essential ",[ɪˈsenʃəl],"необходимый, основной, важный"
"exclamation ",[ˌekskləˈmeɪʃən],восклицание
"expectation ",[ˌekspekˈteɪʃən],ожидание
"faith ",[feɪθ],вера
"frame ",[freɪm],"кадр, структура, рама, каркас"
"gesture ",[ˈdʒestʃə],жест
"matter ",[ˈmætə],"дела, вопрос"
"offering ",[ˈɔfərɪŋ],"предложение, продукт"
"purpose ",[ˈpə:pəs],"намерение, цели"
reconciling," ",согласование
"resolve ",[rɪ'zɔlv],твердость
"ribbon ",[ˈrɪbən],"лента, тесьма"
segue," ",переход
"scope ",[skəup],"объем, контекст"
"sibling ",[ˈsɪblɪŋ],одноуровневый элемент
"stuff ",[stʌf],"материал, чепуха"
"tempting ",[ˈtemptɪŋ],"привлечение, искушение"
